"Register","Registreer"
"You have placed no orders","U heeft nog geen bestellingen"
"You have placed no orders.","U heeft nog geen bestellingen."
"Email Address","Emailadres"
"Email address","Emailadres"
"Status","Status"
"Pending","Wordt verwerkt"
"Awaiting Fullfilment","Wordt in het magazijn gepakt"
"Awaiting Shipment","Licht klaar om verzonden te worden"
"Ship","Verzonden"
"Pending Payment","In de wacht totdat we de betaling hebben ontvangen"
"Payment Review","In de wacht totdat de betaling is bevestigd"
"Order","Bestelling"
"Ship to","Verzenden naar"
"Order Total","Totaalbedrag"
"Order Status","Status van de bestelling"
"View Order","Bekijk bestelling"
"Items Ordered","Producten besteld"
"SKU","Producten"
"Price","Prijs"
"Quantity","Hoeveelheid"
"Subtotal","Subtotaal"
"Shipping & Handling","Verzendkosten"
"Total","Totaal"
"Order Information","Bestel informatie"
"Shipping Address","Bezorg adres"
"Shipping Method","Beszorg methode"
"Billing Address","Factuur adres"
"Payment Method","Betalingsmethode"
"Print","Print"
"Invoices","Factuur"
"Quantity Invoiced","Hoeveelheid gefactureerd"
"on Hold","in de wacht"
"Store Credit","Krediet"
"Balance","Balans"
"Have a gift card? ","Heeft u een kadokaart? "
"Have a gift card? Click here to redeem it.","Heeft u een kadokaart? Dan kunt u hier klikken om deze te gebruiken."
" to redeem it."," om het te verlossen."
"Click here","Klik hier"
"My Downloadable Products","Mijn downloads"
"My Downloadable","Mijn downloads"
"You have not purchased any downloadable products yet.","U heeft geen downloadbare producten aangeschaft"
"The link is not available.","De link is niet beschikbaar"
"Title","Titel"
"Remaining Downloads","Verdere downloads"
"Gift Card","Cadeau kaart"
"Enter gift card code ","Voer cadeau code in"
"Enter gift card code","Voer cadeau code in"
"Please enter a valid gift card code.","Voer aub een geldige cadeau code in."
"Redeem Gift Card","Gebruik de cadeau code"
"Gift Card ""%1"" was removed.","De cadeau kaar ""%1"" was verwijderd."
"Gift Card ""%1"" was redeemed.","De cadeau kaar ""%1"" was gebruikt."
"Gift Card ""%1"" was added.","De cadeau kaar ""%1"" was toegevoegd."
"Check status and balance","Bekijk de status en balans"
"Expires","Verloopt"
"Balance History","Balans geschiedenis"
"Action","Actie"
"Date","Datum"
"Balance change","Balans wijziging"
"Balance Change","Balans wijziging"
"My Wishlist","Mijn wenslijst"
"You have no items in your wish list.","U heeft geen producten in uw wenslijst."
"My Wish Lists","Mijn wenslijst"
"My Wish Lists","Mijn wenslijst"
"Create New Wish List","Maak een nieuwe wenslijst aan"
"Wish list name","Naam wenslijst"
"Wish list %1 was saved.","Wens lijs %1 is opgeslagen"
"Wish list  %1 was saved.","Wens lijs %1 is opgeslagen"
"Wish List ""%1"" was saved.","Wens lijs ""%1"" is opgeslagen"
"Wish List","Wens lijs"
"Public Wishlist","Publieke wenslijst"
"Public Wish List","Publieke wenslijst"
"Private Wish List","Prive wenslijst"
"items","producten"
"Edit","wijzig"
"Delete Wish List","verwijder wenslijst"
"Delete Wishlist","verwijder wenslijst"
"Wish List %1 has been deleted.","Wens lijs  %1 is verwijderd"
"Select All","Selecteer alles"
"Move Selected","Verplaats geselecteerde"
"Move Selected to Wish List","Verplaats geselecteerde u Wenslijst"
"Copy Selected","Kopieer geselecteerde"
"Copy Selected to Wish List","Kopieer geselecteerde u Wenslijst"
"Move","Verplaats"
"Copy","Kopieer"
"Update Wish List","Update wenslijst"
"Share Wish List","Deel wenslijst"
"Add All to Cart","Alles aan winkelwagen toevoegen"
"%1 product(s) have been added to shopping cart:","%1 product(en) zijn toegevoegd aan uw winkelwagen:"
"%1 product(s) have been added to shopping cart: %2.","%1 product(en) zijn toegevoegd aan uw winkelwagen : %2."
"Newsletter Subscription","Aanmelden Nieuwsbrief"
"Subscribe to our newsletter now and earn %1.","Meld je aan voor onze nieuwsbrief en verdien %1"
"Subscribe to our newsletter now and earn 10 Reward points. Your balance is 60 Reward points. Learn more","Meld je aan voor onze nieuwsbrief en verdien 10 Tea Lovers punten. U huidige balans is 60 Tea Lovers punten. Ontdek meer"
"Subscribe to our newsletter now and earn 10 Reward points ($0.50). Your balance is 60 Reward points. Learn more","Meld je aan voor onze nieuwsbrief en verdien 10 Tea Lovers punten(€0,50). U huidige balans is 60 Tea Lovers punten. Ontdek meer"
"Subscription option","Inschrijving"
"General Subscription","Algemende inschrijving"
"Save","Bewaar"
"My Product Reviews","Mijn product beoordelingen"
"You have submitted no reviews.","U heeft nog geen producten beoordeeld"
"Created","Gecreëerd"
"Product Name","Product naam"
"Rating","Score"
"Review","Beoordeling"
"Your Review","Uw beoordeling"
"See Details","Bekijk details"
"Average Customer Rating:","Gemiddelde klant beoordeling:"
"Submitted on ","Toegevoegd op"
"Submitted on July 18, 2016","Toegevoegd op"
"Submitted on %1","Toegevoegd op %1"
"Review Details","Bekijk details"
"My Reward Points","Mijn Tea Lovers punten"
"Reward points balance Information","Tea Lovers punten balans"
"Your current balance is %1. This can be converted to %2 discount on your next order.","Uw huidige balans is %1 Tea Lovers punten. Dit kan omgezet worden naar %2 krediet op uw volgende order."
"Current exchange rates:","Huidige wisselkoers:"
"Balance limitations:","Balans limiet:"
"Minimum Balance in order to redeem: %1.","Minimum Balance om te verlossen: %1."
"Each earned reward points award expires in %1 days.","Tea Lovers punten vervallen na %1 dagen."
"Refer to reward points history to see when a specific record expires.","Bekijk de Tea Lovers punten om te zien tot wanneer deze geldig zijn."
"Amount","Hoeveelheid"
"Points","Punten"
"Reason","Reden"
"Updated by moderator","Aangepast door werknemer"
"Email Notification Settings","Instellingen voor het ontvangen van emails"
"Subscribe for Balance Updates","mail mij wanneer mijn balans wijzigt"
"Subscribe for Points Expiration Notifications","Mail mij wanneer mijn punten vervallen"
"Save Subscription Settings","Bewaar Instellingen"
"You saved the settings.","Instellingen zijn bewaard"
"Checkout","Afrekenen"
"You can create an account after checkout.","Je kunt een account aanmaken na het afrekenen"
"Company (Optional)","Bedrijf"
"Street name and number","Straat"
"Street Address","Straat"
"Postcode","Postcode"
"In case we need to contact you for the delivery","Voor het geval we contact op moeten nemen over de bezorging"
"City/ Suburb","Stad"
"Shipping","Verzendkosten"
"Not yet calculated","Nog niet berekend"
"Next","Naar Betalen"
"You already have an account with us. You can enter password to login or continue as guest.","Je hebt al een account. Je kan daarvoor je wachtwoord invullen of doorgaan als gast."
"optional","optioneel"
"Review & Payments","Beoordeling en betaling"
"Payment","Betaling"
"Enter discount code","voer kortingscode in"
"Enter the gift card code","voer cadeau code in"
"Payment method","Betalingsmethode"
"Payment Method","Betalingsmethode"
"Place your order ","Bestel"
"Place your Order","Bestel"
"You will be redirected to a Hosted Payment page to complete your order","Je wordt doorverwezen naar de betalingspagina om de bestelling af te ronden."
"Order Summary","overzicht van de bestelling"
"Items in Cart","producten in de winkelwagen"
"Your reward point was successfully applied","je Tea Lovers punten zijn succesvol ingezet"
"Connecting with Ogone Payments","Koppeling maken met Ogone Payments (onze betalingsprovider)"
"Proceed to Checkout","Afrekenen"
"Please enter a valid phone number.","Voer alstublieft een geldig telefoonnummer in."
"Shipping","Verzendkosten"
"Gift options","Cadeau-opties"
"Exceptional","Buitengewoon"
"Custom Pack Size","Aangepaste verpakkingsgrootte"
"Let Me Feel","Laat me voelen"
"tax","belasting"
"Tax","Belasting"
"Enter your promo code or gift card ID","Vul je kortingscode of cadeaucode in"
"Promo Code","Kortingscode"
"Gift Card ID","Cadeaucode"
"Please correct the gift card code.","Vul aub een correcte cadeaucode in"
"The coupon code ""%1"" is not valid.","De code ""%1""  is niet geldig"
"Shopping Cart","Winkelwagen"
"Continue Shopping","verder winkelen"
"Order Total","Totaalbedrag bestelling"
"Proceed to Checkout","afrekenen"
"You might also like","Probeer ook eens"
"update cart","update winkelwagen"
"Update Shopping Cart","Update Winkelwagen"
"%1 was updated in your shopping cart.","%1 Bags is aangepast in de winkelwagen."
"Pure Peppermint Leaves 20 Bags was updated in your shopping cart","Pure Peppermint Leaves 20 Bags is aangepast in de winkelwagen"
"Thank you for your purchase Jonny","Bedankt voor je bestelling Johnny"
"Thank you for your purchase!","Bedankt voor je bestelling!"
"Your order number is","Je bestelnummer is"
"Your order number is: ","Je bestelnummer is"
"Your order number is: %1.","Je bestelnummer is : %1."
"Your order numbers are: ","Vos numéros de commande sont : "
"your order is processing. You will receive a confirmation by email soon","Je bestelling wordt nu verwerkt, daarvan krijg je een bevestiging via email"
"Your order is processing. You will receive a confirmation by email soon.","Je bestelling wordt nu verwerkt, daarvan krijg je een bevestiging via email."
"Print Order","Print bestelling"
"We found an account linked to your email","We hebben een account gevonden met dit emailadres"
"Link this order to my account","Sla deze bestelling op in mijn accountgegevens"
"Linking your order to your account allow you to","Door je bestelling op te slaan"
"Linking your order to your account allows you to","Door je bestelling op te slaan"
"Exam rewards points for every purchase!","ontvang je Tea Lovers punten!"
"Review our products and earn 50 points per review!","Beoordeel je producten en ontvang Tea Lovers punten!"
"Sign up for our newsletter and earn 10 Points!","Meld je aan voor onze nieuwsbrief en ontvang Tea Lovers punten!"
"Sign Up for Our Newsletter","Meld je aan voor onze nieuwsbrief"
"Convert your reward points into store credit and get discounts!","Zet je Tea Lovers punten om in korting!"
"You\'re almost there.. sign up for a free account","Je bent er bijna.. Meld je aan voor een account"
"Enter password","Vul je wachtwoord in"
"at least 6 characters","minsten 6 karakters"
"by signing up you agree to the terms & conditions","Door je aan te melden ga je akkoord met onze algemene voorwaarden"
"Creating an account allows you to","Door een account te creëeren kun je"
"Track your order online","je bestelling online volgen"
"Checkout fast next time","Sneller afrekenen bij een volgende bestelling"
"Be the first to hear about our exclusive offers","als eerste op de hoogte zijn van aanbiedingen"
"Earn rewards points and get store credits by converting your points","tea lovers punten sparen voor korting en exclusieve producten"
"You've earned","Je hebt"
"Reward points with this order","Tea lovers punten verdiend met deze bestelling"
"goto my account","Ga naar mijn account"
"Go to my account","Ga naar mijn account"
"Earn rewards points with every purchase!","Verdien Tea Lovers punten met iedere aankoop!"
"* Required Fields","* Verplicht Veld"
"%1 items","%1 products"
"Did you mean","Bedoelde je"
"Related search terms","Verwante zoektermen"
"Please enter again.","Vul aub nogmaals in."
"Create The Account","Créer un compte"
"QTY","Aantal"
"Reset My Password","Wachtwoord herstellen"
"Password Reset","Wachtwoord herstellen"
"We have sent you an e-mail to %1 please reset.","Welkom! We hebben een email gestuurd naar %1"
"Welcome to the Dilmah family! Your account has been created and you are now officially a part of the Dilmah Online Tea Boutique fold.","Welkom bij de Dilmah Tea Club! Uw account voor de Real Tea Boutique is aangemaakt en vanaf nu kunt u beginnen met het sparen van Tea Lovers punten."
"Please give us 24 hours to enable your download link(s)","Geef ons alstublieft 24 uur om uw download link(en) te activeren."
"Your Selection:","Jouw selectie:"
'There is already an account with this email address. If you are sure that it is your email address, <a href="%1">click here</a> to get your password and access your account.','Er is al een account met dit emailadres. Als dit uw emailadres is kunt u hier <a href="%1">klikken</a> om toegang tot uw account te krijgen.'
'Create an account on our site now and earn %d Reward points.','Maak nu een account aan op onze site en verdien %d beloning punten'
"You can convert reward points to store credit. Each %1 can be redeemed for %2","Elke %1 Tea Lovers punten kan worden omgezet in %2"
"Expires on %1","Verlopen op %1"
"Registered as customer","Aangemeld als klant"
"Edit my Cart", "Bewerk mijn bestelling"
"You removed the reward points from this order.","Je hebt je Tea Lovers punten gebruikt bij deze bestelling"
"Recommended  ", "Aanbevolen  "
"Product has been added to shopping cart successfully.", "Uw product is succesvol aan de winkelwagen toegevoegd."
"New Address", "Nieuw adres"
"I accept the", "Ik accepteer de"
"My billing and shipping address are the same", "Mijn bezorg- en factuuradres zijn hetzelfde"
"Gift Card","Cadeaucode"
"Tea By Type", "Thee per type"
"Shop by Category", "Zoek per categorie"
"Ship Here","Verzend hier"
"Change Email","Wĳzig emailadres"
